Algorithm 1,Algorithm 2,Statistic,P-Value,Sig(*)
Naive Bayes,Decision Tree,0.0,9.082557304573249e-05,*
Naive Bayes,Random Forest,20.0,0.012790648078739504,*
Naive Bayes,Gradient Boosting,0.0,9.031736040376755e-05,*
Naive Bayes,LGB,10.5,0.0015814109487985988,*
Naive Bayes,eLCS,0.0,7.647391205932291e-05,*
Naive Bayes,XCS,0.0,7.647391205932291e-05,*
Naive Bayes,ExSTraCS,0.0,9.082557304573249e-05,*
Decision Tree,Random Forest,0.0,9.133589555477501e-05,*
Decision Tree,Gradient Boosting,1.0,0.00012240241226222747,*
Decision Tree,LGB,0.0,9.082557304573249e-05,*
Decision Tree,eLCS,10.5,0.0013530056762186948,*
Decision Tree,XCS,11.0,0.0016214892751100763,*
Decision Tree,ExSTraCS,7.0,0.0006574723348566069,*
Random Forest,Gradient Boosting,0.0,9.082557304573249e-05,*
Random Forest,LGB,31.5,0.08640391629255556,
Random Forest,eLCS,0.0,7.692317130286052e-05,*
Random Forest,XCS,0.0,7.692317130286052e-05,*
Random Forest,ExSTraCS,0.0,9.133589555477501e-05,*
Gradient Boosting,LGB,0.0,9.031736040376755e-05,*
Gradient Boosting,eLCS,0.0,7.647391205932291e-05,*
Gradient Boosting,XCS,0.0,7.647391205932291e-05,*
Gradient Boosting,ExSTraCS,18.5,0.009509874744006587,*
LGB,eLCS,0.0,7.647391205932291e-05,*
LGB,XCS,0.0,7.647391205932291e-05,*
LGB,ExSTraCS,0.0,9.082557304573249e-05,*
eLCS,XCS,35.0,0.13099708560630302,
eLCS,ExSTraCS,0.0,7.692317130286052e-05,*
XCS,ExSTraCS,0.0,7.692317130286052e-05,*
